Survey ID,Age,Gender,Ethnicity,Marital Status,Education Completed,Household Size,No One,Spouse,Children,Grand Children,Parent,Grandparent,Brother/Sister,Other Relative,Friends,Other ,Religion,Full Time Employment,Part Time Employment,Student,Homemaker,Retired,Occupation,Income,Achieving Ends Meet,US Born,Duration of Residency,Primary Language,English Speaking,English Difficulties,Familiarity with America,Familiarity with Ethnic Origin,Identify Ethnically,Belonging,Present Health,Present Mental Health,Present Oral Health,Hygiene Assistance,Smoking,Drinking,Regular Exercise,Healthy Diet,Hypertension,Diabetes,Arthritis,Physical Check-up,Dentist Check-up,Urgentcare,Folkmedicine,Primary Care,Health Insurance,Dental Insurance,Unmet Health Need,Unmet Dental Needs,Transportation (Medical),Interpretation (Medical),Comunication Problem,Preferance,Language,Family,Close Friend,Acquaintances,Heal Professionals,Mobile Apps,Email,Social Networks,Online Communities,Health Website,Other,Quality of Life,Satisfied With Life
80314,,,Vietnamese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viet,,,,,,,,,,,,
60171,60,Male,Chinese,Married,13,6,0,0,Living with children,0,0,0,0,0,0,0,Buddhist,0,0,0,0,Retired,"Clerical, office, sales","$30,000 - $39,999",0,No,0.5,1,Not at all,Not much,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese Simplified,,,,,,,,,,,,
1011601,23,Female,Chinese,Single,16,3,0,0,0,0,Living with parents,0,0,0,0,0,Buddhist,0,0,0,0,0,,"$0 - $9,999",0,No,11,1,Well,Much,Low,Very high,Very close,Not very much,Very Good,Good,Good,0,0,0,0,1,0,0,0,Yes,0,0,0,Yes,0,0,0,0,0,0,0,Yes,English,Yes,No,No,Yes,No,No,No,No,Yes,0,8,Disagree
50046,73,Female,Chinese,Other,13,1,Living with no one,0,0,0,0,0,0,0,0,0,Protestant,0,0,0,0,Retired,,,0,No,50,1,Not well,,High,High,Very close,,Good,Very Good,Good,0,0,0,1,1,0,0,0,0,Yes,,,Yes,Yes,Yes,0,0,0,0,0,,Chinese Traditional,No,No,No,Yes,No,No,No,No,Yes,0,,
10494,29,Male,Asian Indian,Single,17,1,Living with no one,0,0,0,0,0,0,0,0,0,Hindu,Employed full time,0,0,0,0,Other,,0,No,7,0,Well,Very much,High,High,Somewhat close,,Good,Good,Good,1,0,0,0,,,,,,,,,,,,,,,,,,English,,,,,,,,,,,,
10786,34,Female,Asian Indian,Married,17,3,0,Living with spouse,Living with children,0,0,0,0,0,0,0,Hindu,Employed full time,0,0,0,0,Professional,,0,No,,1,Very well,Not at all,Very high,,Very close,Very much,Excellent,Excellent,Excellent,1,0,0,1,1,0,0,0,Yes,,0,0,Yes,Yes,Yes,0,0,0,0,0,0,English,,,,,,,,,,,5,Slightly agree
10809,28,Male,Asian Indian,Married,17,2,0,Living with spouse,0,0,0,0,0,0,0,0,Hindu,Employed full time,0,0,0,0,Professional,"$70,000 and over",1,No,7,0,Well,Much,High,High,Somewhat close,Not very much,Very Good,Very Good,Very Good,0,0,0,1,0,0,0,0,Yes,Yes,0,0,0,Yes,Yes,0,0,0,Yes,0,0,English,No,Yes,No,No,No,Yes,Yes,No,Yes,0,8,Slightly agree
10858,47,Male,Asian Indian,Married,17,5,0,Living with spouse,Living with children,0,0,0,0,0,0,0,Muslim,Employed full time,0,0,0,0,Professional,"$70,000 and over",0,No,20,1,Very well,Not at all,High,High,Very close,Very much,Excellent,Excellent,Excellent,0,0,0,0,0,Yes,0,0,,,,,,,,,,,,,,English,,,,,,,,,,,,
10856,25,Male,Asian Indian,Single,17,1,Living with no one,0,0,0,0,0,0,0,0,0,Hindu,Employed full time,0,0,0,0,Professional,"$50,000 - $59,999",0,No,2,0,Very well,Not at all,Very high,Low,Not very close,Not very much,Excellent,Excellent,Excellent,0,1,0,1,1,0,0,0,Yes,Yes,Yes,0,Yes,Yes,Yes,0,0,Yes,0,0,0,English,Yes,No,Yes,Yes,No,No,No,No,No,0,10,Strongly agree
10103,60,Female,Asian Indian,Single,17,3,0,0,0,0,Living with parents,0,0,0,0,0,Hindu,0,0,0,0,Retired,,"$70,000 and over",0,No,47,1,Very well,Not at all,Low,High,Not very close,Not very much,Good,Excellent,Very Good,0,0,0,1,1,0,0,Yes,Yes,Yes,0,0,0,Yes,Yes,0,0,0,0,0,0,English,No,No,No,Yes,Yes,No,No,No,No,0,9,Agree
